City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Pacific Grove,36.6177,-121.9166,50.43,89,0,3.44,US,2022-03-26 09:33:27
221,Khorinsk,52.1657,109.7726,25.59,62,72,9.26,RU,2022-03-26 09:34:47
222,Mount Gambier,-37.8333,140.7667,60.71,82,0,9.22,AU,2022-03-26 09:31:36
223,Gushikawa,26.3544,127.8686,69.03,100,100,13.8,JP,2022-03-26 09:34:49
224,Krosno Odrzanskie,52.0549,15.0988,58.77,47,20,12.57,PL,2022-03-26 09:34:50
225,Broome,42.2506,-75.833,38.62,86,100,5.75,US,2022-03-26 09:34:51
226,Namibe,-15.1961,12.1522,74.03,73,20,9.22,AO,2022-03-26 09:34:52
227,Tahoua,14.8888,5.2692,89.58,4,88,18.41,NE,2022-03-26 09:34:53
228,Fairbanks,64.8378,-147.7164,26.94,80,0,0.0,US,2022-03-26 09:31:44
229,Saskylakh,71.9167,114.0833,-8.91,100,95,3.31,RU,2022-03-26 09:34:55
230,Noumea,-22.2763,166.4572,75.18,74,73,10.25,NC,2022-03-26 09:35:56
231,Guaimaro,21.05,-77.35,71.13,89,55,3.8,CU,2022-03-26 09:35:57
232,Nhulunbuy,-12.2333,136.7667,81.21,83,40,6.91,AU,2022-03-26 09:35:57
233,Bollnas,61.3482,16.3946,40.01,50,11,17.0,SE,2022-03-26 09:35:04
234,Boyolangu,-8.1181,111.8935,80.02,84,70,4.52,ID,2022-03-26 09:35:59
235,Sao Filipe,14.8961,-24.4956,69.82,73,59,8.61,CV,2022-03-26 09:36:01
236,Kayerkan,69.3497,87.7602,19.53,79,100,12.39,RU,2022-03-26 09:36:02
237,Cockburn Town,21.4612,-71.1419,77.72,76,67,17.05,TC,2022-03-26 09:36:04
238,Ancud,-41.8697,-73.8203,55.22,94,23,3.2,CL,2022-03-26 09:32:02
239,Gamboma,-1.8764,15.8644,87.69,54,100,6.82,CG,2022-03-26 09:34:38
240,Moberly,39.4184,-92.4382,38.43,64,0,9.22,US,2022-03-26 09:36:06
241,Isangel,-19.55,169.2667,73.51,88,62,3.44,VU,2022-03-26 09:36:07
