City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
219,Yulara,AU,-25.2406,130.9889,78.64,17,90,8.05,overcast clouds
220,Port Lincoln,AU,-34.7333,135.8667,69.78,69,2,8.66,clear sky
221,Amealco,MX,20.1833,-100.15,71.67,16,0,4.97,clear sky
222,Marmaris,TR,36.855,28.2742,60.12,50,6,5.28,clear sky
223,Chilca,PE,-12.5211,-76.7372,69.82,86,98,7.31,overcast clouds
224,Palmer,US,42.1584,-72.3287,34.41,54,100,18.41,overcast clouds
225,Torbay,CA,47.6666,-52.7314,40.28,91,100,23.02,overcast clouds
226,Alpena,US,45.0617,-83.4327,18.18,55,40,12.66,scattered clouds
227,East London,ZA,-33.0153,27.9116,69.87,83,100,17.31,overcast clouds
228,Palomares,MX,17.15,-95.0667,69.35,78,16,6.62,few clouds
229,Namibe,AO,-15.1961,12.1522,71.83,68,98,10.96,overcast clouds
230,Glendive,US,47.1053,-104.7125,58.62,25,0,11.5,clear sky
231,Dingle,PH,10.9995,122.6711,84.49,68,27,11.56,scattered clouds
232,Pangai,TO,-19.8,-174.35,84.31,79,75,5.75,broken clouds
233,Tautira,PF,-17.7333,-149.15,81.77,74,97,14.12,light rain
234,Saint-Augustin,CA,51.226,-58.6502,33.78,98,100,15.86,overcast clouds
235,Bam,IR,29.106,58.357,60.62,14,0,2.55,clear sky
236,Bousse,BF,12.6606,-1.8922,83.14,13,12,7.63,few clouds
237,Nikolskoye,RU,59.7035,30.7861,22.91,93,100,11.99,light snow
238,Pingliang,CN,35.5392,106.6861,43.9,64,98,7.25,overcast clouds
239,Marau,BR,-28.4492,-52.2,57.42,91,0,1.68,clear sky
240,Pontivy,FR,48.0,-3.0,52.29,85,66,6.22,broken clouds
241,Neyshabur,IR,36.2133,58.7958,48.04,33,0,0.56,clear sky
242,Erzin,TR,36.9559,36.2,44.69,65,0,2.15,clear sky
